Artist,Title,Mood
Usher,There Goes My Baby,relaxed
Da'Ville,On My Mind,relaxed
Rihanna,Rockstar 101 ,relaxed
J. Holiday,Bed,relaxed
Morgan Heritage,Don't Haffi Dread,angry
Whitney Houston,My Love Is Your Love,happy
Serani,Study People,angry
Austra,Spellwork,angry
Coro,Can't Let You Go,happy
Beenie Man,Slam,relaxed
Deitrick Haddon,Love Him Like I Do ,happy
The Jackson 5,ABC,relaxed
Maysa,The Lady In My Life,happy
Ryan Shaw,We Got Love,happy
The Paris Sisters,I Love How You Love Me,happy
New Direction,I Came To Jesus,sad
Kurt Carr & The Kurt Carr Singers,God Great God,happy
Kenny Lattimore,And I Love Her,happy
Jordin Sparks,Battlefield,angry
Spoon,You Got Yr. Cherry Bomb,angry
Tarralyn Ramsey,Peace Of God,relaxed
Tyrese,One,relaxed
Dr. Dog,Where'd All The Time Go?,sad
Tarralyn Ramsey,Unconditional Love,happy
Kool & The Gang,Steppin' Into Love,happy
Anders Osborne,Darkness At The Bottom,sad
The Rolling Stones,Gimme Shelter,angry
The Rolling Stones,Happy,happy
Bobby Bare,Detroit City,relaxed
Gene Watson,Got No Reason Now For Goin' Home,relaxed
George Strait,El Rey,sad
Playing For Change,Don't Worry,relaxed
The Rolling Stones,Melody,relaxed
Stars,Fixed,sad
Glasser,Home,relaxed
Betty Wright,Where Is The Love,happy
Mavis Staples,You Are Not Alone,angry
The Rolling Stones,Not Fade Away,happy
The Beach Boys,God Only Knows,happy
Korn,Blind,sad
Megadeth,Angry Again,angry
Ra,Do You Call My Name,angry
Avenged Sevenfold,Nightmare,angry
Mudvayne,Scream With Me,angry
Static-X,Dirthouse,sad
Metallica,Cyanide,sad
Green Day,Longview,sad
Nirvana,Rape Me,angry
Marilyn Manson,Sweet Dreams ,angry
Staind,Mudshovel,angry
Pantera,This Love,happy
Chevelle,Send The Pain Below,angry
The Red Hot Chili Peppers,Scar Tissue,sad
Metallica,Harvester Of Sorrow,angry
Guns N' Roses,Civil War,angry
Shadows Fall,King Of Nothing,angry
Comeback Kid,Do Yourself A Favor,sad
Rob Zombie,Superbeast,sad
Pearl Jam,Why Go,relaxed
Scorpions,Rock You Like A Hurricane,angry
Nine Inch Nails,Terrible Lie,angry
Stone Temple Pilots,Wicked Garden,angry
Smashing Pumpkins,Bullet With Butterfly Wings,angry
Nirvana,Come As You Are,angry
Black Sabbath,War Pigs,angry
Korn,Everything I've Known,angry
Disturbed,Indestructible,angry
Three Days Grace,Riot,angry
Dierks Bentley,Free And Easy ,relaxed
Kenny Chesney,When The Sun Goes Down ,relaxed
Zac Brown Band,Free,relaxed
Frankie Ballard,Tell Me You Get Lonely,sad
Faith Hill,The Way You Love Me,happy
Blake Shelton,Home,relaxed
Josh Turner,Your Man,relaxed
Alice Cooper,Welcome To My Nightmare,angry
Led Zeppelin,Rock And Roll,sad
Joan Jett & The Blackhearts,I Hate Myself For Loving You,angry
Jonny Lang,Lie To Me,angry
The Doors,Love Her Madly,happy
Eric Clapton,Cocaine,angry
Robert Cray,Smoking Gun,angry
Jefferson Airplane,Somebody To Love,happy
Supertramp,Bloody Well Right,angry
Ted Nugent,Cat Scratch Fever,sad
Alice Cooper,No More Mr. Nice Guy,sad
Neil Young,Heart Of Gold,happy
Boston,Let Me Take You Home Tonight,relaxed
Scorpions,Still Loving You,happy
The Doors,Light My Fire,angry
Night Ranger,Don't Tell Me You Love Me,happy
Lynyrd Skynyrd,That Smell,sad
Pat Benatar,Hit Me With Your Best Shot,angry
Guns N' Roses,Paradise City,relaxed
Yes,I've Seen All Good People,relaxed
Motley Crue,Home Sweet Home,relaxed
Lynyrd Skynyrd,You Got That Right,angry
Bad Company,Feel Like Makin' Love,happy
Jethro Tull,Locomotive Breath,sad
Bad Company,Can't Get Enough,happy
The Who,Love Reign O'er Me,relaxed
Billy Squier,In The Dark,sad
Pink Floyd,One Of These Days,sad
Van Halen,Runnin' With The Devil,angry
David Bowie,Fame,happy
Three Plus,Undercover Lover,relaxed
Three Plus,Honey Baby,relaxed
Three Plus,Two Person Party,relaxed
Bob Marley & The Wailers,Easy Skanking,relaxed
Gregory Isaacs,Private Beach Party,happy
Fiji,Anything You Want,relaxed
Ooklah The Moc,Hell Fire,angry
Shaggy,Angel ,relaxed
Sean Paul,I'm Still In Love With You ,happy
The Beach Boys,Good Vibrations,relaxed
Orleans,Still The One,happy
The Babys,Every Time I Think Of You,happy
R.E.M.,The One I Love,angry
The Cure,Lovesong,happy
Annie Lennox,Walking On Broken Glass,sad
Soft Cell,Tainted Love,happy
Lenny Kravitz,Again,happy
Cyndi Lauper,Time After Time,sad
Falco,Rock Me Amadeus,angry
The Fixx,Saved By Zero,happy
Gino Vannelli,Living Inside Myself,angry
Aretha Franklin,Respect,relaxed
Melissa Etheridge,I'm The Only One,angry
Fleetwood Mac,Go Your Own Way,sad
Andy Kim,Rock Me Gently,relaxed
The Bee Gees,Lonely Days,sad
Rod Stewart,Passion,happy
U2,Pride ,happy
Janet Jackson,Nasty,sad
Howard Jones,What Is Love?,happy
Sheryl Crow,A Change Would Do You Good,relaxed
The Thompson Twins,King For A Day,happy
.38 Special,Second Chance,happy
Depeche Mode,Strangelove,angry
Kajagoogoo,Too Shy,sad
The Flying Lizards,Money ,happy
Kenny Loggins,Danger Zone,angry
Eddie Money,Think I'm In Love,happy
Donna Summer,Bad Girls,sad
