Usher	There Goes My Baby
Da'Ville	On My Mind
Rihanna	Rockstar 101 
J. Holiday	Bed
Morgan Heritage	Don't Haffi Dread
Whitney Houston	My Love Is Your Love
Serani	Study People
Austra	Spellwork
Coro	Can't Let You Go
Beenie Man	Slam
Deitrick Haddon	Love Him Like I Do 
The Jackson 5	ABC
Maysa	The Lady In My Life
Ryan Shaw	We Got Love
The Paris Sisters	I Love How You Love Me
New Direction	I Came To Jesus
Kurt Carr & The Kurt Carr Singers	God Great God
Kenny Lattimore	And I Love Her
Jordin Sparks	Battlefield
Spoon	You Got Yr. Cherry Bomb
Tarralyn Ramsey	Peace Of God
Tyrese	One
Dr. Dog	Where'd All The Time Go?
Tarralyn Ramsey	Unconditional Love
Kool & The Gang	Steppin' Into Love
Anders Osborne	Darkness At The Bottom
The Rolling Stones	Gimme Shelter
The Rolling Stones	Happy
Bobby Bare	Detroit City
Gene Watson	Got No Reason Now For Goin' Home
George Strait	El Rey
Playing For Change	Don't Worry
The Rolling Stones	Melody
Stars	Fixed
Glasser	Home
Betty Wright	Where Is The Love
Mavis Staples	You Are Not Alone
The Rolling Stones	Not Fade Away
The Beach Boys	God Only Knows
Korn	Blind
Megadeth	Angry Again
Ra	Do You Call My Name
Avenged Sevenfold	Nightmare
Mudvayne	Scream With Me
Static-X	Dirthouse
Metallica	Cyanide
Green Day	Longview
Nirvana	Rape Me
Marilyn Manson	Sweet Dreams 
Staind	Mudshovel
Pantera	This Love
Chevelle	Send The Pain Below
The Red Hot Chili Peppers	Scar Tissue
Metallica	Harvester Of Sorrow
Guns N' Roses	Civil War
Shadows Fall	King Of Nothing
Comeback Kid	Do Yourself A Favor
Rob Zombie	Superbeast
Pearl Jam	Why Go
Scorpions	Rock You Like A Hurricane
Nine Inch Nails	Terrible Lie
Stone Temple Pilots	Wicked Garden
Smashing Pumpkins	Bullet With Butterfly Wings
Nirvana	Come As You Are
Black Sabbath	War Pigs
Korn	Everything I've Known
Disturbed	Indestructible
Three Days Grace	Riot
Dierks Bentley	Free And Easy 
Kenny Chesney	When The Sun Goes Down 
Zac Brown Band	Free
Frankie Ballard	Tell Me You Get Lonely
Faith Hill	The Way You Love Me
Blake Shelton	Home
Josh Turner	Your Man
Alice Cooper	Welcome To My Nightmare
Led Zeppelin	Rock And Roll
Joan Jett & The Blackhearts	I Hate Myself For Loving You
Jonny Lang	Lie To Me
The Doors	Love Her Madly
Eric Clapton	Cocaine
Robert Cray	Smoking Gun
Jefferson Airplane	Somebody To Love
Supertramp	Bloody Well Right
Ted Nugent	Cat Scratch Fever
Alice Cooper	No More Mr. Nice Guy
Neil Young	Heart Of Gold
Boston	Let Me Take You Home Tonight
Scorpions	Still Loving You
The Doors	Light My Fire
Night Ranger	Don't Tell Me You Love Me
Lynyrd Skynyrd	That Smell
Pat Benatar	Hit Me With Your Best Shot
Guns N' Roses	Paradise City
Yes	I've Seen All Good People
Motley Crue	Home Sweet Home
Lynyrd Skynyrd	You Got That Right
Bad Company	Feel Like Makin' Love
Jethro Tull	Locomotive Breath
Bad Company	Can't Get Enough
The Who	Love Reign O'er Me
Billy Squier	In The Dark
Pink Floyd	One Of These Days
Van Halen	Runnin' With The Devil
David Bowie	Fame
Three Plus	Undercover Lover
Three Plus	Honey Baby
Three Plus	Two Person Party
Bob Marley & The Wailers	Easy Skanking
Gregory Isaacs	Private Beach Party
Fiji	Anything You Want
Ooklah The Moc	Hell Fire
Shaggy	Angel 
Sean Paul	I'm Still In Love With You 
The Beach Boys	Good Vibrations
Orleans	Still The One
The Babys	Every Time I Think Of You
R.E.M.	The One I Love
The Cure	Lovesong
Annie Lennox	Walking On Broken Glass
Soft Cell	Tainted Love
Lenny Kravitz	Again
Cyndi Lauper	Time After Time
Falco	Rock Me Amadeus
The Fixx	Saved By Zero
Gino Vannelli	Living Inside Myself
Aretha Franklin	Respect
Melissa Etheridge	I'm The Only One
Fleetwood Mac	Go Your Own Way
Andy Kim	Rock Me Gently
The Bee Gees	Lonely Days
Rod Stewart	Passion
U2	Pride 
Janet Jackson	Nasty
Howard Jones	What Is Love?
Sheryl Crow	A Change Would Do You Good
The Thompson Twins	King For A Day
.38 Special	Second Chance
Depeche Mode	Strangelove
Kajagoogoo	Too Shy
The Flying Lizards	Money 
Kenny Loggins	Danger Zone
Eddie Money	Think I'm In Love
Donna Summer	Bad Girls
John Cougar Mellencamp	Authority Song
Aerosmith	Janie's Got A Gun
The Motels	Only The Lonely
Edwin Starr	War
Tesla	Love Song
Andrew Gold	Lonely Boy
Madonna	Angel
Duran Duran	I Don't Want Your Love
Alias	More Than Words Can Say
Mr. Mister	Is It Love
Right Said Fred	I'm Too Sexy
John Mellencamp	Lonely Ol' Night
Kenny Loggins	Whenever I Call You Friend 
The Pointer Sisters	Fire
Duran Duran	A View To A Kill
Seals & Crofts	Diamond Girl
April Wine	Just Between You And Me
Paul McCartney & Wings	My Love
Nelly Furtado	I'm Like A Bird
The Beatles	Can't Buy Me Love
Lita Ford	Kiss Me Deadly
The Trammps	Disco Inferno
Killswitch Engage	This Fire Burns
Atreyu	Lip Gloss And Black
Alkaline Trio	Burn
Demon Hunter	Lifewar
Hot Hot Heat	Bandages
Buzzcocks	Love You More
Social Distortion	Ring Of Fire
Streetlight Manifesto	Sick And Sad
Reel Big Fish	The Fire
Limp Bizkit	Take A Look Around
Rancid	The Bravest Kids
The Clash	White Riot
Me First & The Gimme Gimmes	Over The Rainbow
The Winans	Uphold Me
Donnie McClurkin	We Fall Down
Tonex	God Has Not 4got
Jonathan Nelson	My Name Is Victory 
Tamela Mann	Joy Of The Lord
CeCe Winans	Waging War
Juanita Bynum	Peace
Vanessa Bell Armstrong	Desire Of My Heart
B.B. King	The Thrill Is Gone
The Art Of Noise	Moments In Love
Norah Jones	Chasing Pirates
Sade	Never As Good As The First Time
Chaka Khan	Through The Fire
Alicia Keys	Fallin'
Sade	I Couldn't Love You More
Sting	It's Probably Me
Go West	What You Won't Do For Love
Robin Thicke	Lost Without U
Sade	No Ordinary Love
Luther Vandross	Any Love
Sade	Kiss Of Life
Jason Mraz	Lucky 
Kenny G	What A Wonderful World 
Bobby Caldwell	What You Won't Do For Love
Dave Matthews Band	Crash Into Me
Michael Buble	Home
Anita Baker	Same Ole Love 
Enya	Caribbean Blue
Natalie Cole	This Will Be
Avenged Sevenfold	Scream
Metallica	Holier Than Thou
Hail The Villain	Take Back The Fear
Sick Puppies	Street Fighter 
Flyleaf	I'm So Sick
Nirvana	You Know You're Right
Three Days Grace	Home
Three Days Grace	Animal I Have Become
Breaking Benjamin	Until The End
Disturbed	The Game
Metallica	Seek And Destroy
Red	Death Of Me
The Prodigy	Breathe
Smashing Pumpkins	Disarm
Soundgarden	Rusty Cage
Silverchair	Tomorrow
Rage Against The Machine	Bombtrack
Taio Cruz	Dirty Picture 
Baby Bash	That's How I Go 
Baby Bash	Cyclone 
Baby Bash	Fantasy Girl 
Ivory Joe Hunter	Since I Met You Baby
Whitney Houston	I Will Always Love You
Shop Boyz	Party Like A Rock Star
Lady Gaga	LoveGame
Mary J. Blige	Real Love
Chamillionaire	Ridin 
Keith Sweat	Nobody 
Juvenile	Slow Motion 
Mary Wells	What Love Has Joined Together
Fidel Rueda	Me Encantaria
Palomo	No Me Conoces Aun
Los Pikadientes De Caborca	La Cumbia Del Rio
K-Paz De La Sierra	Volvere
Chalino Sanchez	Cuatro Espadas
Banda El Recodo	Pena Tras Pena
Los Cadetes De Linares	Las Tres Tumbas
Los Temerarios	Al Otro Lado Del Sol
Chalino Sanchez	Baraja De Oro 
Eric Church	Love Your Love The Most
Tim McGraw	It's Your Love 
Temple Of The Dog	Hunger Strike
Eric Clapton	Cocaine
Soul For Real	Candy Rain
Tank	Sex Music
Matt Redman	This Is How We Know
Big Daddy Weave	Just The Way I Am
Point Of Grace	All The World
Steven Curtis Chapman	All About Love
Chris Tomlin	Our God
Steven Curtis Chapman	Not Home Yet
Digital Underground	Kiss You Back
Mark Ronson	Bang Bang Bang 
Sting	I Hung My Head
Carrie Rodriguez	Big Love
The Secret Sisters	The One I Love Is Gone
Shelby Lynne	Family Tree
Ra Ra Riot	Foolish
Nitin Sawhney	Sunset
Sidewalk Prophets	You Can Have Me
Rebecca St. James	Song Of Love
Aaron Shust	My Savior My God
By The Tree	Beautiful One
Josh Wilson	Before The Morning
Aaron Shust	Give Me Words To Speak
Jeremy Camp	Take You Back
Jeremy Camp	Beautiful One
Rich Mullins	Awesome God
City On A Hill	God Of Wonders
Phillips, Craig & Dean	Friend Of God
Third Day	I've Always Loved You
Building 429	I Believe 
DecembeRadio	Love Can
Avalon	Testify To Love
Sonicflood	I Could Sing Of Your Love Forever
Nichole Nordeman	Time After Time 
Marco Antonio Solis	Si No Te Hubieras Ido
La Sonora Dinamita	Que Nadie Sepa Mi Sufrir
Grupo Bryndis	Por Estar Pensando En Ti
Juan Gabriel	Pero Que Necesidad
Bronco	Oficialmente Loco
Los Pasteles Verdes	El Solitario
Ana Barbara	Bandido
Joan Sebastian	Rumores 
Jose Jose	Lo Dudo
Los Mier	Te Amo
Camilo Sesto	Tarde O Temprano
Marco Antonio Solis	Amor En Silencio
Vicente Fernandez	El Rey
Los Humildes	Vestido Mojado
Los Bukis	Que Mala
Joan Sebastian	El Perdedor
La Mafia	Me Estoy Enamorando
Banda Machos	Al Gato Y Al Raton
Joan Sebastian	Sentimental
Palomo	Baraja De Oro
The Bee Gees	Night Fever
Deniece Williams	It's Gonna Take A Miracle
Wings	Silly Love Songs
Faith Hill	This Kiss
Daryl Hall & John Oates	Kiss On My List
Celine Dion	My Heart Will Go On
Cher	Believe
Backstreet Boys	I Want It That Way
Lil Wayne	On Fire
Kylie	All The Lovers
Chromeo	Don't Turn The Lights On
Rockell	In A Dream
Infernal	From Paris To Berlin
Ministry	Everyday Is Halloween
Ferry Corsten	Fire
Yves Larock	Rise Up
Angel City	Love Me Right 
MercyMe	Bless Me Indeed
Aaron Shust	Watch Over Me
Pocket Full Of Rocks	Song To The King
The Museum	Never Look Away
Brandon Heath	Love Never Fails
Above The Golden State	I'll Love You So
